College Name,No Supplemental Essays,Free Through Scoir
Allegheny College,,Yes
Austin College,,Yes
Bard College,Yes,
Barry University,Yes,
Bates College,Yes,
Beloit College,Yes,Yes
Birmingham-Southern College,,Yes
Bowdoin College,Yes,
Case Western Reserve University,Yes,
Centenary College of Louisiana,,Yes
Chatham University,,Yes
Clark University,Yes,Yes
Clarkson University,Yes,
Clemson University,Yes,
Coe College,Yes,
Colby College,Yes,Yes
Colorado College,,Yes
Connecticut College,Yes,
Denison University,,Yes
DePaul University,Yes,
DePauw University,,Yes
Drexel University,Yes,
Florida Southern College,,Yes
Fordham University,Yes,
Franklin & Marshall College,Yes,
Furman University,,Yes
Gettysburg College,Yes,
Goucher College,Yes,
Grinnell College,Yes,
Hamilton College,Yes,
Hobart and William Smith Colleges,,Yes
Hollins University,Yes,
Illinois College,,Yes
Kenyon College,Yes,Yes
Knox College,,Yes
Lawrence University,,Yes
Le Moyne College,,Yes
Loyola University Chicago,,Yes
Lycoming College,,Yes
Mercyhurst University,,Yes
Miami University,Yes,
Middlebury College,Yes,
Oberlin College,,Yes
Ohio Wesleyan University,,Yes
Palm Beach Atlantic University,,Yes
Providence College,Yes,
Reed College,,Yes
Ripon College,Yes,
Rollins College,,Yes
Seton Hall University,Yes,
Skidmore College,Yes,
Southwestern University,,Yes
Spelman College,Yes,
St. John's College (Annapolis),,Yes
St. John's College (Santa Fe),,Yes
St. John's University,Yes,
St. Lawrence University,Yes,
St Mary's University,,Yes
St. Norbert College,,Yes
St. Olaf College,,Yes
Stevens Institute of Technology,Yes,
Stony Brook University,Yes,
SUNY Binghamton University,Yes,
SUNY Buffalo,Yes,
Temple University,Yes,
The College of Wooster,,Yes
Trinity University,Yes,Yes
Union College,Yes,
University of Alabama,Yes,
University of Arkansas,Yes,
University of Colorado - Denver,Yes,
University of Connecticut,Yes,
University of Dayton,Yes,
University of Delaware,Yes,
University of Denver,Yes,
University of Iowa,Yes,
University of Minnesota,Yes,
University of New Hampshire,Yes,
University of the Pacific,Yes,
Washington and Lee University,Yes,
Webster University,,Yes
Wesleyan University,Yes,
Westminster College,,Yes
Whitman College,Yes,
Yale NUS,Yes,
York College of Pennsylvania,,Yes